"Ticker","Name","Price","Dividend Yield","Market Cap ($M)","P/E Ratio","Payout Ratio","Beta"
"UDR","UDR, Inc.","49.05","2.8","23,386","85.5","235.2","0.39"
"UHS","Universal Health Services, Inc.","138.08","0.4","12,218","17.1","6.2","0.74"
"ULTA","Ulta Beauty, Inc.","241.74","0.0","14,226","20.3","0.0","0.94"
"UNH","UnitedHealth Group, Inc.","247.05","1.6","234,124","","","0.81"
"UNM","Unum Group","28.60","4.7","5,966","11.5","54.2","1.25"
"UNP","Union Pacific Corp.","170.75","2.1","118,534","20.0","41.4","1.14"
"UPS","United Parcel Service, Inc.","116.25","3.3","99,742","20.1","65.6","1.09"
"URI","United Rentals, Inc.","136.00","0.0","10,221","9.3","0.0","1.89"
"USB","U.S. Bancorp","57.02","2.7","89,578","13.1","35.1","0.79"
"UTX","United Technologies Corp.","143.04","2.6","123,457","23.9","61.5","1.06"
"V","Visa, Inc.","179.84","0.7","312,633","34.5","24.9","1.16"
"VAR","Varian Medical Systems, Inc.","122.20","0.0","11,127","35.8","0.0","1.06"
"VFC","VF Corp.","83.45","4.6","33,227","25.7","119.3","1.11"
"VIAB","Viacom, Inc.","21.53","3.7","8,685","5.3","19.7","1.01"
"VLO","Valero Energy Corp.","100.07","3.5","41,469","18.0","63.1","1.23"
"VMC","Vulcan Materials Co.","145.71","1.0","19,275","34.2","35.7","0.90"
"VNO","Vornado Realty Trust","64.04","8.2","12,219","4.3","34.9","0.63"
"VRSK","Verisk Analytics, Inc.","148.55","0.5","24,288","40.8","20.6","0.82"
"VRSN","VeriSign, Inc.","190.92","0.0","22,415","35.3","0.0","1.10"
"VRTX","Vertex Pharmaceuticals, Inc.","194.02","0.0","49,869","22.3","0.0","1.12"
"VTR","Ventas, Inc.","64.64","4.9","24,083","48.3","236.9","0.26"
"VZ","Verizon Communications, Inc.","60.18","4.0","248,904","15.5","62.2","0.33"
"WAB","Westinghouse Air Brake Technologies Corp.","70.00","0.9","13,418","38.6","33.1","1.10"
"WAT","Waters Corp.","220.11","0.0","14,694","27.8","0.0","0.93"
"WBA","Walgreens Boots Alliance, Inc.","55.80","4.0","50,395","12.9","51.8","0.99"
"WCG","WellCare Health Plans, Inc.","280.90","0.0","14,132","26.7","0.0","0.81"
"WDC","Western Digital Corp.","62.73","3.2","18,645","-24.2","-77.2","1.72"
"WEC","WEC Energy Group, Inc.","92.53","3.1","29,187","26.7","83.9","0.17"
"WELL","Welltower, Inc.","87.04","4.0","35,272","103.6","414.2","0.34"
"WFC","Wells Fargo & Co.","51.65","4.5","220,499","11.1","50.4","0.84"
"WHR","Whirlpool Corp.","154.54","3.8","9,766","9.3","35.4","1.10"
"WLTW","Willis Towers Watson Plc","183.38","1.4","23,654","28.2","39.2","0.73"
"WM","Waste Management, Inc.","111.28","1.8","47,209","26.9","48.4","0.53"
"WMB","The Williams Cos., Inc.","22.97","6.4","27,840","302.6","1,949.9","0.89"
"WMT","Walmart, Inc.","119.22","2.2","339,095","26.7","59.2","0.61"
"WRK","WestRock Co.","38.44","4.7","9,892","11.8","55.9","1.31"
"WU","The Western Union Co.","25.02","3.2","10,605","9.0","28.5","0.68"
